2026-03-08 14:34:49 | INFO     | 新品提报压力测试.py:product_submission:17 | 开始压力测试
2026-03-08 14:34:49 | INFO     | 新品提报压力测试.py:product_submission:230 | 出品部门查询结束
2026-03-08 14:56:40 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:41 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:41 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:41 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:41 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:41 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:41 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:42 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:42 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:42 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:42 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:42 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:42 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:43 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:43 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:43 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:43 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:43 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:43 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:44 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:44 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:44 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:44 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:44 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:56:44 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:56:45 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:57:08 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:57:08 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 14:57:08 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 14:57:09 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 15:01:08 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 15:01:09 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 15:01:09 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 15:01:09 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 15:04:51 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 15:04:51 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 15:04:51 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 15:04:52 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 15:08:45 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 15:08:45 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
2026-03-08 15:08:45 | INFO     | 新品提报压力测试.py:product_submission:24 | 开始压力测试
2026-03-08 15:08:46 | INFO     | 新品提报压力测试.py:product_submission:267 | 单次接口请求结束
